index,type,name
306,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/act/Mul_2
307,Add,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/act/Add
308,Constant,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/act/Constant_1
309,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/act/Mul_3
310,Tanh,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/act/Tanh
311,Constant,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/act/Constant_2
312,Add,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/act/Add_1
313,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/act/Mul_4
314,Constant,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/act/Constant_3
315,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/act/Mul_5
316,Conv,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/fc2/Conv
317,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.1/layer_scale/Mul
318,Add,/vision_model/vision/_en/stages.3/blocks/blocks.1/Add
319,Conv,/vision_model/vision/_en/final_conv/reparam_conv/Conv
320,ReduceMean,/vision_model/vision/_en/final_conv/se/ReduceMean
321,Conv,/vision_model/vision/_en/final_conv/se/fc1/Conv
322,Relu,/vision_model/vision/_en/final_conv/se/act/Relu
323,Conv,/vision_model/vision/_en/final_conv/se/fc2/Conv
324,Sigmoid,/vision_model/vision/_en/final_conv/se/gate/Sigmoid
325,Mul,/vision_model/vision/_en/final_conv/se/Mul
326,Mul,/vision_model/vision/_en/final_conv/act/Mul
327,Mul,/vision_model/vision/_en/final_conv/act/Mul_1
328,Constant,/vision_model/vision/_en/final_conv/act/Constant
329,Mul,/vision_model/vision/_en/final_conv/act/Mul_2
330,Add,/vision_model/vision/_en/final_conv/act/Add
331,Constant,/vision_model/vision/_en/final_conv/act/Constant_1
332,Mul,/vision_model/vision/_en/final_conv/act/Mul_3
333,Tanh,/vision_model/vision/_en/final_conv/act/Tanh
334,Constant,/vision_model/vision/_en/final_conv/act/Constant_2
