index,type,name
198,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/act/Mul_3
199,Tanh,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/act/Tanh
200,Add,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/act/Add_1
201,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/act/Mul_4
202,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/act/Mul_5
203,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/fc2/Conv
204,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.5/layer_scale/Mul
205,Add,/vision_model/vision/_en/stages.2/blocks/blocks.5/Add
206,Conv,/vision_model/vision/_en/stages.3/downsample/proj/proj.0/reparam_conv/Conv
207,Conv,/vision_model/vision/_en/stages.3/downsample/proj/proj.1/reparam_conv/Conv
208,Mul,/vision_model/vision/_en/stages.3/downsample/proj/proj.1/act/Mul
209,Mul,/vision_model/vision/_en/stages.3/downsample/proj/proj.1/act/Mul_1
210,Mul,/vision_model/vision/_en/stages.3/downsample/proj/proj.1/act/Mul_2
211,Add,/vision_model/vision/_en/stages.3/downsample/proj/proj.1/act/Add
212,Mul,/vision_model/vision/_en/stages.3/downsample/proj/proj.1/act/Mul_3
213,Tanh,/vision_model/vision/_en/stages.3/downsample/proj/proj.1/act/Tanh
214,Add,/vision_model/vision/_en/stages.3/downsample/proj/proj.1/act/Add_1
215,Mul,/vision_model/vision/_en/stages.3/downsample/proj/proj.1/act/Mul_4
216,Mul,/vision_model/vision/_en/stages.3/downsample/proj/proj.1/act/Mul_5
217,Conv,/vision_model/vision/_en/stages.3/blocks/blocks.0/token_mixer/reparam_conv/Conv
218,Conv,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/conv/conv/Conv
219,Conv,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/fc1/Conv
220,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/act/Mul
221,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/act/Mul_1
222,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/act/Mul_2
223,Add,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/act/Add
224,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/act/Mul_3
225,Tanh,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/act/Tanh
226,Add,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/act/Add_1
227,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/act/Mul_4
228,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/act/Mul_5
229,Conv,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/fc2/Conv
230,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.0/layer_scale/Mul
231,Add,/vision_model/vision/_en/stages.3/blocks/blocks.0/Add
232,Conv,/vision_model/vision/_en/stages.3/blocks/blocks.1/token_mixer/reparam_conv/Conv
233,Conv,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/conv/conv/Conv
234,Conv,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/fc1/Conv
235,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/act/Mul
236,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/act/Mul_1
237,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/act/Mul_2
238,Add,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/act/Add
239,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/act/Mul_3
240,Tanh,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/act/Tanh
241,Add,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/act/Add_1
242,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/act/Mul_4
243,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/act/Mul_5
244,Conv,/vision_model/vision/_en/stages.3/blocks/blocks.1/mlp/fc2/Conv
245,Mul,/vision_model/vision/_en/stages.3/blocks/blocks.1/layer_scale/Mul
246,Add,/vision_model/vision/_en/stages.3/blocks/blocks.1/Add
247,Conv,/vision_model/vision/_en/final_conv/reparam_conv/Conv
248,ReduceMean,/vision_model/vision/_en/final_conv/se/ReduceMean
249,Conv,/vision_model/vision/_en/final_conv/se/fc1/Conv
250,Relu,/vision_model/vision/_en/final_conv/se/act/Relu
251,Conv,/vision_model/vision/_en/final_conv/se/fc2/Conv
252,Sigmoid,/vision_model/vision/_en/final_conv/se/gate/Sigmoid
253,Mul,/vision_model/vision/_en/final_conv/se/Mul
254,Mul,/vision_model/vision/_en/final_conv/act/Mul
255,Mul,/vision_model/vision/_en/final_conv/act/Mul_1
256,Mul,/vision_model/vision/_en/final_conv/act/Mul_2
257,Add,/vision_model/vision/_en/final_conv/act/Add
258,Mul,/vision_model/vision/_en/final_conv/act/Mul_3
259,Tanh,/vision_model/vision/_en/final_conv/act/Tanh
260,Add,/vision_model/vision/_en/final_conv/act/Add_1
261,Mul,/vision_model/vision/_en/final_conv/act/Mul_4
262,Mul,/vision_model/vision/_en/final_conv/act/Mul_5
263,GlobalAveragePool,/vision_model/vision/_en/head/global_pool/pool/GlobalAveragePool
264,Flatten,/vision_model/vision/_en/head/global_pool/flatten/Flatten
265,Gemm,/vision_model/vision/_en/head/fc/Gemm
266,Gemm,/vision_model/no_bottleneck_policy/summarizer/_infeats/_infeats.0/Gemm
267,Relu,/vision_model/no_bottleneck_policy/summarizer/_infeats/_infeats.1/Relu
268,Gemm,/vision_model/no_bottleneck_policy/summarizer/resblock/block_a/block_a.0/Gemm
269,Relu,/vision_model/no_bottleneck_policy/summarizer/resblock/block_a/block_a.2/Relu
270,Gemm,/vision_model/no_bottleneck_policy/summarizer/resblock/block_a/block_a.3/Gemm
271,Add,/vision_model/no_bottleneck_policy/summarizer/resblock/Add
272,Relu,/vision_model/no_bottleneck_policy/summarizer/resblock/block_b/block_b.0/Relu
273,Gemm,/vision_model/no_bottleneck_policy/summarizer/resblock/block_b/block_b.1/Gemm
274,Relu,/vision_model/no_bottleneck_policy/summarizer/resblock/block_b/block_b.3/Relu
275,Gemm,/vision_model/no_bottleneck_policy/summarizer/resblock/block_b/block_b.4/Gemm
276,Add,/vision_model/no_bottleneck_policy/summarizer/resblock/Add_1
277,Relu,/vision_model/no_bottleneck_policy/summarizer/resblock/final_relu/Relu
278,Gemm,/vision_model/no_bottleneck_policy/hydra/resblock/block_a/block_a.0/Gemm
279,Relu,/vision_model/no_bottleneck_policy/hydra/resblock/block_a/block_a.2/Relu
280,Gemm,/vision_model/no_bottleneck_policy/hydra/resblock/block_a/block_a.3/Gemm
281,Add,/vision_model/no_bottleneck_policy/hydra/resblock/Add
282,Relu,/vision_model/no_bottleneck_policy/hydra/resblock/block_b/block_b.0/Relu
283,Gemm,/vision_model/no_bottleneck_policy/hydra/resblock/block_b/block_b.1/Gemm
284,Relu,/vision_model/no_bottleneck_policy/hydra/resblock/block_b/block_b.3/Relu
285,Gemm,/vision_model/no_bottleneck_policy/hydra/resblock/block_b/block_b.4/Gemm
286,Add,/vision_model/no_bottleneck_policy/hydra/resblock/Add_1
287,Relu,/vision_model/no_bottleneck_policy/hydra/resblock/final_relu/Relu
288,Gemm,/vision_model/no_bottleneck_policy/hydra/meta/Gemm
289,Relu,/vision_model/no_bottleneck_policy/hydra/relu/Relu
290,Gemm,/vision_model/no_bottleneck_policy/hydra/desire_pred/Gemm
291,Relu,/vision_model/no_bottleneck_policy/hydra/relu_1/Relu
292,Gemm,/vision_model/no_bottleneck_policy/hydra/road_transform/Gemm
293,Relu,/vision_model/no_bottleneck_policy/hydra/relu_2/Relu
294,Gemm,/vision_model/no_bottleneck_policy/hydra/pose/Gemm
295,Relu,/vision_model/no_bottleneck_policy/hydra/relu_3/Relu
296,Gemm,/vision_model/no_bottleneck_policy/hydra/wide_from_device_euler/Gemm
297,Relu,/vision_model/no_bottleneck_policy/hydra/relu_4/Relu
298,Gemm,/vision_model/no_bottleneck_policy/hydra/meta/meta.0/Gemm
299,Relu,/vision_model/no_bottleneck_policy/hydra/meta/meta.1/Relu
300,Gemm,/vision_model/no_bottleneck_policy/hydra/meta/meta.2/Gemm
301,Add,/vision_model/no_bottleneck_policy/hydra/Add
302,Relu,/vision_model/no_bottleneck_policy/hydra/relu_5/Relu
303,Gemm,/vision_model/no_bottleneck_policy/hydra/desire_pred/desire_pred.0/Gemm
